v0 X,v0 Y,0 X,0 Y,15 X,15 Y,30 X,30 Y
-0.0064,-0.0034132,-0.00576,-0.0026736,0.00392,-0.00299408,0.00778,-0.0029571
0.23726,0.1218,0.23801,0.1068,0.24108,0.0908,0.24739,0.074
0.47568,0.2204,0.47869,0.193,0.48332,0.1584,0.49121,0.1254
0.7181,0.2826,0.72178,0.2484,0.72971,0.1968,0.73821,0.1588
0.96471,0.313,0.96837,0.2776,0.97658,0.2202,0.98569,0.1826
1.21291,0.3294,1.21671,0.295,1.2237,0.2362,1.23269,0.2004
1.46275,0.3406,1.466,0.3068,1.47347,0.2484,1.48307,0.2142
1.71179,0.3492,1.71517,0.316,1.72391,0.2582,1.73323,0.2254
1.96044,0.3564,1.96398,0.3238,1.97399,0.2668,1.98428,0.2352
2.21077,0.3622,2.21362,0.3306,2.22502,0.2738,2.23516,0.2442
2.46017,0.3672,2.4631,0.3366,2.47669,0.2802,2.48656,0.2514
2.71009,0.3714,2.71312,0.3424,2.72759,0.2862,2.73755,0.258
2.96065,0.3748,2.96399,0.3476,2.97866,0.292,2.98767,0.2638
3.20961,0.3778,3.21285,0.3524,3.2307,0.297,3.23802,0.2694
3.45912,0.3806,3.46154,0.3568,3.48206,0.3016,3.48653,0.2748
3.70832,0.3828,3.71105,0.3614,3.73284,0.3058,3.73428,0.2792
3.95848,0.3852,3.96024,0.3658,3.98308,0.3098,3.98201,0.2836
4.20742,0.387,4.20925,0.3698,4.2296,0.3136,4.23393,0.2874
4.45623,0.3888,4.45834,0.3734,4.47783,0.3172,4.50289,0.2912
4.70576,0.3902,4.70708,0.3772,4.75321,0.3206,4.70945,0.2942
4.95636,0.3918,4.9575,0.3804,4.95755,0.3236,4.95599,0.2976
5.20722,0.3932,5.20774,0.3834,5.20254,0.3268,5.20722,0.3002
5.46052,0.3944,5.45896,0.3858,5.4522,0.3296,5.45584,0.3034
5.7055,0.3958,5.70966,0.3888,5.70238,0.3326,5.71018,0.3064
5.95776,0.3968,5.95672,0.3914,5.95152,0.3354,5.9562,0.3092
6.20482,0.398,6.21054,0.3938,6.20274,0.3378,6.20898,0.3112
6.45552,0.3988,6.46021,0.3958,6.4524,0.3408,6.45813,0.314
6.70623,0.3998,6.70675,0.398,6.70155,0.343,6.70675,0.3166
6.95797,0.4008,6.95797,0.3998,6.95485,0.3456,6.96005,0.3188
7.20451,0.4018,7.20659,0.4016,7.20243,0.348,7.21335,0.3206
7.45625,0.4028,7.45521,0.4034,7.45417,0.35,7.45677,0.3228
7.70956,0.4032,7.70748,0.405,7.70279,0.3524,7.70851,0.3248
7.95402,0.4046,7.95298,0.4066,7.95246,0.3548,7.95766,0.327
8.20212,0.4056,8.20004,0.4082,8.20264,0.3566,8.20784,0.3292
8.45438,0.4062,8.45594,0.4092,8.4523,0.3588,8.45958,0.331
8.7004,0.407,8.7056,0.4104,8.70092,0.361,8.7082,0.3332
8.95422,0.4078,8.95162,0.4114,8.94902,0.3632,8.95422,0.3346
9.20545,0.4084,9.20285,0.4124,9.20024,0.365,9.20285,0.3366
9.45511,0.4092,9.44887,0.4136,9.44575,0.3668,9.45303,0.3382
9.70061,0.4102,9.69905,0.4142,9.69593,0.3688,9.70425,0.34
9.95027,0.4106,9.95027,0.4154,9.94871,0.3706,9.95391,0.3414
10.202,0.4114,10.1999,0.416,10.1973,0.3726,10.2062,0.3428
