v0 X,v0 Y,0 X,0 Y,15 X,15 Y,30 X,30 Y
-0.00374,-0.0232,-0.00422,-0.01773732,0.00534,-0.0218,0.00908,-0.0234
0.23458,0.1434,0.2353,0.1332,0.23767,0.1214,0.24297,0.1072
0.46756,0.2984,0.47052,0.2718,0.47327,0.2566,0.4795,0.2296
0.70201,0.4412,0.7066,0.3962,0.71006,0.3782,0.71876,0.3388
0.93901,0.5714,0.94484,0.5062,0.94891,0.4836,0.95822,0.4322
1.17675,0.6874,1.18545,0.6004,1.18818,0.5728,1.19942,0.5096
1.41695,0.7896,1.42753,0.6796,1.43206,0.6482,1.44417,0.5742
1.65796,0.8788,1.67123,0.7454,1.676,0.7096,1.68981,0.627
1.89986,0.9558,1.91598,0.7994,1.92191,0.7606,1.93707,0.6702
2.14385,1.023,2.16161,0.8442,2.16892,0.8018,2.18513,0.7058
2.38783,1.0808,2.40813,0.8814,2.41725,0.8348,2.43454,0.7344
2.63316,1.1308,2.65559,0.9122,2.66665,0.862,2.68387,0.7582
2.87969,1.1748,2.90356,0.9388,2.91452,0.8848,2.93245,0.7786
3.12535,1.2128,3.1508,0.9614,3.16497,0.9034,3.18286,0.7964
3.37143,1.2458,3.39822,0.9816,3.41566,0.9192,3.43192,0.8106
3.61837,1.2746,3.64609,0.9992,3.66611,0.9336,3.67972,0.823
3.86579,1.3,3.89401,1.0154,3.91729,0.9448,3.92715,0.8346
4.11256,1.322,4.14175,1.0296,4.16581,0.9554,4.17379,0.8446
4.35955,1.3414,4.38936,1.0432,4.41153,0.9652,4.42971,0.8532
4.60814,1.3576,4.63765,1.0554,4.66449,0.9742,4.71119,0.8624
4.85677,1.372,4.88776,1.0666,4.88629,0.9812,4.90346,0.8688
5.10421,1.384,5.13604,1.0768,5.13128,0.989,5.14636,0.8752
5.35441,1.3938,5.3851,1.0864,5.38198,0.996,5.39342,0.8816
5.60407,1.4022,5.63424,1.0956,5.63528,1.0016,5.64204,0.8876
5.85269,1.409,5.88338,1.104,5.88442,1.0084,5.89899,0.8928
6.10184,1.4148,6.132,1.1118,6.13096,1.0126,6.14293,0.8974
6.35462,1.4192,6.38167,1.1192,6.38323,1.0184,6.39571,0.9014
6.60324,1.4226,6.63289,1.1258,6.63497,1.023,6.65317,0.9056
6.85602,1.425,6.87943,1.1324,6.88463,1.028,6.89295,0.9098
7.10152,1.4272,7.13273,1.1386,7.13169,1.0318,7.14886,0.913
7.35015,1.4286,7.38135,1.1442,7.38187,1.036,7.39852,0.916
7.60189,1.4294,7.62737,1.1494,7.63101,1.0402,7.64662,0.9194
7.85259,1.43,7.87964,1.1544,7.88224,1.0438,7.89472,0.922
8.10225,1.4302,8.13034,1.1588,8.13346,1.0472,8.14698,0.9254
8.34983,1.4302,8.37636,1.163,8.3748,1.0496,8.39508,0.9268
8.60262,1.4302,8.6281,1.1668,8.62862,1.0534,8.64579,0.929
8.84916,1.4296,8.87828,1.1702,8.87828,1.056,8.89597,0.9322
9.09986,1.4294,9.12534,1.1732,9.12535,1.059,9.14355,0.9328
9.34588,1.4288,9.37345,1.1762,9.37657,1.061,9.39009,0.9342
9.5971,1.4282,9.62103,1.1784,9.62623,1.0638,9.64132,0.9362
9.84573,1.4276,9.87121,1.1812,9.87381,1.0658,9.8941,0.9382
10.1011,1.4272,10.1245,1.1834,10.1261,1.0682,10.1422,0.9378
