v0 X,v0 Y,0 X,0 Y,15 X,15 Y,30 X,30 Y
-0.00573,-3.55642e-05,-0.00617,3.83954e-05,0.00285,2.60604e-05,0.00704,-0.000232806
0.24867,0.00355162,0.24938,0.00266404,0.25068,0.0001616694,0.2546,-0.000343736
0.49754,0.0048583,0.49772,0.00366256,0.49973,0.000420528,0.50405,-0.0001588298
0.74633,0.00626358,0.74638,0.00445148,0.74977,0.000506814,0.75471,-0.0001341932
0.99549,0.00740998,0.99582,0.00533904,0.99963,0.000580764,1.00434,6.30484e-05
1.24522,0.0085441,1.24583,0.00577048,1.24855,0.000778014,1.25359,7.5375e-05
1.49548,0.00951792,1.49571,0.00669504,1.49986,0.001024554,1.50491,0.000284926
1.74613,0.0103192,1.74676,0.00726206,1.75058,0.001431356,1.75633,0.000531458
1.99491,0.01103416,1.99578,0.0080017,2.00236,0.001456026,2.00834,0.000925942
2.24631,0.01174916,2.24653,0.00883994,2.25373,0.001640924,2.2605,0.001086212
2.49602,0.01256272,2.49674,0.00965356,2.50565,0.001924436,2.51239,0.001221796
2.74625,0.01305582,2.74718,0.01051642,2.7574,0.00235588,2.76421,0.00148067
2.99723,0.01365984,2.9979,0.0114903,3.00956,0.0023682,3.01407,0.00202304
3.24677,0.01425154,3.24705,0.01230386,3.26194,0.00239286,3.26557,0.00225726
3.49633,0.0148679,3.49621,0.01321608,3.51403,0.00297224,3.51429,0.0026394
3.74609,0.01529936,3.74591,0.01447342,3.76461,0.00344066,3.76135,0.0031325
3.99561,0.01585408,3.99572,0.01532402,4.01423,0.0036872,4.01091,0.0035886
4.24541,0.01629784,4.24513,0.01621154,4.26064,0.00406934,4.2655,0.00398306
4.49367,0.01688956,4.49452,0.01719772,4.51116,0.00457476,4.53927,0.00430358
4.7432,0.01734566,4.74303,0.01838116,4.79476,0.00491994,4.73702,0.00462408
4.9943,0.01761684,4.99369,0.0193303,4.9872,0.00538836,4.98772,0.00493226
5.24102,0.01794968,5.24518,0.0202,5.23686,0.00575814,5.23582,0.00547464
5.49485,0.01861534,5.4938,0.021,5.48236,0.00606636,5.4886,0.00594304
5.74763,0.01897284,5.74399,0.0222,5.73566,0.00673202,5.73931,0.00648548
5.99469,0.01921938,5.99365,0.0232,5.98273,0.0072744,5.98637,0.00691692
6.24227,0.01979874,6.24383,0.0238,6.23603,0.00792774,6.24019,0.00752094
6.49141,0.02,6.49505,0.025,6.48881,0.00829756,6.49037,0.00787842
6.7442,0.0206,6.74472,0.0256,6.74055,0.00912346,6.73743,0.00865504
6.9949,0.0208,6.9949,0.0266,6.98814,0.0095426,6.9923,0.00906182
7.24612,0.0214,7.24456,0.0276,7.23884,0.01018362,7.24508,0.00954258
7.49266,0.0216,7.49162,0.0282,7.48642,0.01077528,7.48538,0.01034386
7.74128,0.022,7.74076,0.029,7.73608,0.01142866,7.7366,0.01077528
7.99355,0.0224,7.99147,0.0296,7.98834,0.0120943,7.98886,0.01121908
8.24477,0.0228,8.24009,0.0304,8.23697,0.01283392,8.23645,0.0119957
8.49339,0.0232,8.49339,0.031,8.48767,0.0134503,8.48611,0.01248878
8.74461,0.0238,8.74253,0.0316,8.74045,0.01431316,8.74201,0.01305582
8.99271,0.024,8.99011,0.0324,8.98283,0.01490488,8.98543,0.01369684
9.24134,0.0244,9.23873,0.0326,9.23561,0.01549658,9.23665,0.01447342
9.48996,0.0248,9.491,0.033,9.48528,0.01628552,9.48684,0.01515144
9.73858,0.0252,9.74014,0.0336,9.73234,0.01707446,9.73598,0.01561986
9.98928,0.0256,9.98824,0.034,9.9846,0.01793734,9.98408,0.01621156
10.2405,0.0258,10.2405,0.0344,10.2348,0.01865232,10.2353,0.01707446
