v0 X,v0 Y,0 X,0 Y,15 X,15 Y,30 X,30 Y
-0.00574,-0.0037337,-0.00578,-0.00349948,0.00346,-0.003857,0.00751,-0.00357346
0.23357,0.1524,0.23469,0.1368,0.23741,0.1282,0.24247,0.116
0.46774,0.2992,0.47093,0.267,0.4731,0.254,0.47959,0.2296
0.70233,0.4356,0.70774,0.3848,0.71152,0.3686,0.71942,0.3318
0.93991,0.56,0.94673,0.4882,0.95003,0.468,0.95983,0.4194
1.17858,0.6698,1.18783,0.5754,1.1906,0.551,1.20177,0.4926
1.41934,0.765,1.4314,0.6472,1.43474,0.6198,1.44672,0.5522
1.66109,0.8458,1.67576,0.705,1.67979,0.6748,1.6932,0.6006
1.90393,0.9136,1.92018,0.751,1.92688,0.7184,1.94055,0.6398
2.14906,0.9698,2.16706,0.7876,2.17465,0.7524,2.18907,0.6698
2.39433,1.0152,2.41489,0.818,2.42382,0.779,2.43817,0.695
2.64122,1.051,2.662,0.843,2.67235,0.7998,2.68804,0.715
2.88936,1.0792,2.91125,0.8642,2.92267,0.8168,2.93786,0.7312
3.1362,1.1002,3.15833,0.8824,3.17317,0.831,3.18792,0.7452
3.38428,1.1162,3.40656,0.8982,3.42397,0.8426,3.43761,0.7568
3.63302,1.1284,3.65495,0.9122,3.67478,0.8532,3.68535,0.7664
3.8823,1.1378,3.90324,0.9246,3.92585,0.8622,3.93262,0.7758
4.13067,1.145,4.15167,0.9356,4.17422,0.87,4.17998,0.784
4.37899,1.1502,4.39946,0.9456,4.42045,0.877,4.43749,0.7906
4.62804,1.1544,4.64808,0.9546,4.6769,0.8834,4.72248,0.7974
4.87828,1.1574,4.89778,0.9628,4.89722,0.8892,4.9045,0.8022
5.12762,1.1602,5.14649,0.97,5.14376,0.8944,5.15572,0.8076
5.37366,1.1618,5.3955,0.9766,5.39238,0.8994,5.4059,0.8124
5.6254,1.1634,5.64828,0.9826,5.64464,0.9038,5.65453,0.817
5.87922,1.1646,5.89847,0.9882,5.89535,0.908,5.90783,0.821
6.12992,1.1654,6.14397,0.993,6.14085,0.9114,6.15333,0.8248
6.37594,1.1662,6.39311,0.9976,6.39363,0.9158,6.40143,0.8282
6.62873,1.1668,6.64693,1.0018,6.64693,0.919,6.65265,0.8318
6.87839,1.1676,6.89763,1.0054,6.89243,0.9222,6.90648,0.8344
7.13013,1.1678,7.1473,1.0086,7.1421,0.9252,7.15302,0.8372
7.37719,1.1682,7.39592,1.0116,7.39176,0.9282,7.40424,0.8402
7.62789,1.1684,7.64038,1.0142,7.64194,0.9306,7.65338,0.8422
7.87808,1.1688,7.89264,1.0164,7.889,0.9332,7.90304,0.845
8.12774,1.1688,8.1423,1.0184,8.1449,0.9354,8.15479,0.8472
8.37688,1.169,8.3904,1.0206,8.38832,0.938,8.40393,0.8494
8.6281,1.169,8.6411,1.022,8.64007,0.94,8.65307,0.851
8.87776,1.1692,8.89233,1.0236,8.89337,0.9422,8.90273,0.8528
9.12638,1.1692,9.13939,1.025,9.13939,0.9442,9.15083,0.8548
9.37241,1.1694,9.39009,1.0264,9.38853,0.9462,9.39997,0.8556
9.62519,1.1692,9.63715,1.0274,9.63715,0.9478,9.65224,0.8576
9.87329,1.1692,9.88734,1.0284,9.88526,0.9498,9.89774,0.8588
10.125,1.1692,10.138,1.0292,10.1412,0.9516,10.1521,0.8606
